Any,Comarca,Província,Longitud,Latitud,Superfície km2,Població.x 0-15,Població.y 0-15,Població.x 16-24,Població.y 16-24,Població.x 25-44,Població.y 25-44,Població.x 45-64,Població.y 45-64,Població.x 64+,Població.y 64+,Total kg/hab./dia,Recollida no selectiva,Recollida selectiva
2006,Alt Camp,Tarragona,1.168858284,41.262911399,538,3129,3288,2001,2169,6262,7115,4660,5027,3906,3120,1.47,14315.14,7772.63
2006,Alt Empordà,Girona,2.846670142,42.393804699,1358,9365,9803,5985,6239,19131,20972,13913,14500,11109,8945,2.94,95090.93,37897.31
2006,Alt Penedès,Barcelona,1.777332142,41.361030685,593,7732,8135,4553,4892,15689,17564,10610,11134,8419,6512,1.62,40258.06,16867.25
2006,Alt Urgell,Lleida,1.508278479,42.351403709,1447,1252,1411,1007,994,3305,3418,2376,2670,2294,1917,1.31,5068.45,5082
2006,Alta Ribagorça,Lleida,0.801124657,42.505378455,427,236,282,179,190,629,784,418,501,414,348,1.67,2147.76,335.41
2006,Anoia,Barcelona,1.443554697,41.59783259,866,8823,9391,5528,5614,17218,19490,12140,12523,9633,7265,1.63,55028.01,9970.66
2006,Bages,Barcelona,1.631966008,41.739169106,1299,12440,13430,8124,8416,26319,29271,20510,20569,19009,13456,1.46,61547.23,30708.47
2006,Baix Camp,Tarragona,0.975413192,41.210359353,697,14119,14676,8790,9102,27775,30049,19552,19921,14186,10916,1.82,75672.64,39400.37
2006,Baix Ebre,Tarragona,0.500058469,40.879900446,1003,5237,5704,3825,4173,10912,13376,8796,8896,8274,6607,1.52,35498.39,6805.87
2006,Baix Empordà,Girona,3.085288573,42.104398466,702,9142,9731,5757,6064,18816,20976,14361,14785,11050,8781,2.61,93098.4,25062.2
2006,Baix Llobregat,Barcelona,1.902601581,41.516171187,486,60759,64598,37091,38771,132272,140433,90141,88104,56386,43449,1.42,283169.27,114752.63
2006,Baix Penedès,Tarragona,1.486364127,41.245744816,296,6824,7149,4168,4158,13776,15531,9995,10378,6332,5569,2.27,59902.21,11224.11
2006,Barcelonès,Barcelona,2.24587666,41.452263347,145,137922,145689,101322,103508,357296,374931,285340,255010,257379,169837,1.4,836560.44,299391.17
2006,Berguedà,Barcelona,1.825611891,42.077717227,1185,2412,2602,1841,1972,5447,5997,4997,5204,5345,3986,1.44,16046.22,5024.97
2006,Cerdanya,Girona,1.837361267,42.397592638,547,1206,1376,805,923,2825,3271,1874,2196,1422,1165,2.13,10957.83,2421.19
2006,Conca de Barberà,Tarragona,1.228323935,41.41091586,650,1367,1476,965,1008,2849,3308,2219,2435,2476,1924,1.38,6406.88,3837.7
2006,Garraf,Barcelona,1.722171016,41.28615903,185,10658,10925,6036,6127,22411,23205,15645,15782,10307,7760,1.94,62624,31803.57
2006,Garrigues,Lleida,0.924154304,41.541651668,798,1136,1259,860,972,2492,3032,2321,2512,2678,2277,0.95,6032.45,933.9
2006,Garrotxa,Girona,2.641583767,42.21317776,735,3672,3877,2349,2476,7532,8559,6114,6582,6300,4714,1.61,23158.37,7830.95
2006,Gironès,Girona,2.761759172,41.938317975,575,13835,14622,8847,8872,27702,30653,18027,17813,13419,9686,1.43,54317.42,32296.58
2006,Maresme,Barcelona,2.294956934,41.493732172,399,32099,34426,19957,21308,66956,70963,49122,48632,33255,24394,1.77,178399.52,86085.98
2006,Montsià,Tarragona,0.480770667,40.5432439,735,4563,4763,3323,3506,9738,11238,7125,7406,6642,5556,1.4,24998.65,8426.29
2006,Noguera,Lleida,0.660407593,41.751364415,1784,2568,2637,1803,1810,5365,6199,4183,4509,4521,3819,1.31,16468.51,1943.37
2006,Osona,Barcelona,2.250544628,41.767986176,1260,11452,12409,7152,7418,22265,25189,16531,16956,14044,10206,1.39,39676.9,34349.76
2006,Pallars Jussà,Lleida,1.09247165,42.16144193,1343,722,755,508,564,1594,1850,1448,1594,1932,1573,1.33,4564.05,1581.55
2006,Pallars Sobirà,Lleida,1.317472691,42.548794993,1378,470,473,287,323,1108,1243,735,962,768,671,1.57,2961,1078.18
2006,Pla d'Urgell,Lleida,1.018357494,41.679015226,305,2440,2579,1582,1741,5099,6104,3590,3822,3649,2881,1.23,13186.42,2111.26
2006,Pla de l'Estany,Girona,2.765370615,42.118105569,263,2391,2489,1395,1459,4338,4663,3177,3271,2628,2065,1.62,12306.89,4528
2006,Priorat,Tarragona,0.766749088,41.165252561,499,584,565,360,452,1258,1557,1081,1294,1352,1138,1.29,2883.48,1741.29
2006,Ribera d'Ebre,Tarragona,0.567443286,41.180631047,827,1406,1469,1034,1209,2948,3327,2763,2970,2839,2345,1.43,6220.76,5776.4
2006,Ripollès,Girona,2.167213333,42.224467627,956,1524,1677,1094,1240,3580,4050,3378,3541,3549,2672,1.52,10554.33,4058.7
2006,Segarra,Lleida,1.271020203,41.665741746,723,1678,1744,1011,1020,3214,4203,2147,2336,2178,1772,1.5,7950.73,3947.06
2006,Segrià,Lleida,0.458875465,41.494156354,1397,13955,14685,9318,9709,29387,33472,21192,21268,18234,13391,1.3,73423.66,15532.03
2006,Selva,Girona,2.603018891,42.00924462,995,11306,12255,7018,7770,23699,27138,16683,17659,11702,9448,2.11,95967.33,20652.08
2006,Solsonès,Lleida,1.358748948,41.842277682,1001,1001,1052,611,666,1933,2298,1463,1575,1335,1144,1.48,5674.36,1354.36
2006,Tarragonès,Tarragona,1.376050084,41.142750135,319,17301,18445,11176,11872,36634,39721,25347,25469,17041,12928,2.05,130139.72,36413.11
2006,Terra Alta,Tarragona,0.260882637,40.910005124,743,708,747,532,676,1556,1812,1502,1691,1806,1589,1,3278.79,1341.86
2006,Urgell,Lleida,1.098859253,41.787239279,580,2508,2688,1676,1764,4972,5986,3769,3974,3850,2987,1.29,12845.83,3437.79
2006,Vall d'Aran,Lleida,0.71138294,42.754900684,634,674,747,482,520,1687,1915,994,1156,593,501,2.89,7326.65,2735.99
2006,Vallès Occidental,Barcelona,2.113347047,41.509070517,583,69258,73682,41702,43636,141855,149675,95798,93723,64834,46978,1.32,283842.68,118892.51
2006,Vallès Oriental,Barcelona,2.221915789,41.677289414,851,30840,32437,17999,19345,62840,68602,41838,42329,26833,20781,1.45,135723.05,61290.55
2007,Alt Camp,Tarragona,1.168858284,41.262911399,538,3295,3488,2036,2173,6510,7455,4902,5224,3966,3178,1.44,13916.42,8460.07
2007,Alt Empordà,Girona,2.846670142,42.393804699,1358,9942,10466,6166,6417,20241,22448,14718,15465,11408,9243,2.51,86034.31,32131.61
2007,Alt Penedès,Barcelona,1.777332142,41.361030685,593,8166,8558,4518,4803,16297,18391,11096,11584,8570,6647,1.67,39131.4,21020.91
2007,Alt Urgell,Lleida,1.508278479,42.351403709,1447,1311,1468,983,997,3335,3478,2481,2783,2279,1901,1.29,5162.29,4977.66
2007,Alta Ribagorça,Lleida,0.801124657,42.505378455,427,240,280,184,200,629,797,439,546,406,339,1.67,1997.65,515.02
2007,Anoia,Barcelona,1.443554697,41.59783259,866,9295,9798,5415,5599,17786,20349,12625,13057,9729,7351,1.56,52063.09,11589.49
2007,Bages,Barcelona,1.631966008,41.739169106,1299,13076,14017,8047,8265,27101,30366,21196,21254,19048,13567,1.47,62264.11,32468.38
2007,Baix Camp,Tarragona,0.975413192,41.210359353,697,14960,15546,9046,9266,28955,31822,20484,20834,14490,11140,1.76,77827.44,37880.87
2007,Baix Ebre,Tarragona,0.500058469,40.879900446,1003,5506,5977,3787,4230,11235,14173,9085,9264,8412,6694,1.49,33777.63,8949.47
2007,Baix Empordà,Girona,3.085288573,42.104398466,702,9599,10160,5793,6258,19655,21852,15058,15459,11265,8964,2.44,89840.72,22676.39
2007,Baix Llobregat,Barcelona,1.902601581,41.516171187,486,62521,66394,36173,37877,133543,141950,92313,90035,57402,44359,1.39,265756.7,126191.93
2007,Baix Penedès,Tarragona,1.486364127,41.245744816,296,7399,7823,4323,4326,14848,16802,10679,11057,6612,5846,2.28,62382.81,13169.68
2007,Barcelonès,Barcelona,2.24587666,41.452263347,145,140021,147845,99678,101262,361597,379129,288175,256714,257608,170294,1.46,817293.07,364740.18
2007,Berguedà,Barcelona,1.825611891,42.077717227,1185,2482,2699,1810,1908,5486,6177,5132,5414,5324,3940,1.44,15852.02,5388.01
2007,Cerdanya,Girona,1.837361267,42.397592638,547,1283,1443,835,910,2941,3426,1945,2317,1442,1181,2.07,10860.29,2542.28
2007,Conca de Barberà,Tarragona,1.228323935,41.41091586,650,1377,1525,951,1003,2903,3390,2309,2537,2460,1942,1.49,6332.77,4906.52
2007,Garraf,Barcelona,1.722171016,41.28615903,185,11121,11620,6144,6270,23287,24461,16356,16597,10569,8009,1.94,61391,35098.56
2007,Garrigues,Lleida,0.924154304,41.541651668,798,1146,1300,867,978,2497,3111,2376,2579,2674,2256,1.11,6787.07,1323.11
2007,Garrotxa,Girona,2.641583767,42.21317776,735,3809,4031,2291,2550,7645,8755,6362,6814,6292,4661,1.55,22733.47,7446.8
2007,Gironès,Girona,2.761759172,41.938317975,575,14476,15210,9019,8979,28777,32093,18720,18466,13542,9742,1.38,51577.61,34061.01
2007,Maresme,Barcelona,2.294956934,41.493732172,399,33014,35578,19594,20961,68191,72781,50980,50330,34024,25072,1.72,167918.74,91433.76
2007,Montsià,Tarragona,0.480770667,40.5432439,735,4813,5079,3347,3543,10283,11828,7345,7737,6794,5642,1.51,26131.26,11171.68
2007,Noguera,Lleida,0.660407593,41.751364415,1784,2607,2693,1765,1804,5374,6361,4307,4677,4529,3818,1.19,14329.25,2452.8
2007,Osona,Barcelona,2.250544628,41.767986176,1260,11829,12714,7015,7301,22692,25704,17117,17648,14185,10254,1.34,35630.09,36590.78
2007,Pallars Jussà,Lleida,1.09247165,42.16144193,1343,772,816,524,561,1677,1939,1520,1711,1951,1566,1.55,4677.21,2938.83
2007,Pallars Sobirà,Lleida,1.317472691,42.548794993,1378,467,490,299,322,1140,1286,770,998,745,661,1.64,2904.09,1410.41
2007,Pla d'Urgell,Lleida,1.018357494,41.679015226,305,2596,2764,1604,1743,5370,6329,3731,4015,3628,2889,1.26,13743.33,2340.7
2007,Pla de l'Estany,Girona,2.765370615,42.118105569,263,2505,2581,1367,1438,4439,4727,3262,3392,2708,2098,1.63,11718.26,5512.52
2007,Priorat,Tarragona,0.766749088,41.165252561,499,576,580,379,424,1251,1559,1126,1318,1336,1135,1.45,2955.97,2206.86
2007,Ribera d'Ebre,Tarragona,0.567443286,41.180631047,827,1464,1492,1030,1199,2980,3415,2899,3063,2828,2353,1.5,6320.9,6462.12
2007,Ripollès,Girona,2.167213333,42.224467627,956,1510,1742,1101,1207,3617,4077,3445,3621,3548,2646,1.84,11905.63,5902.73
2007,Segarra,Lleida,1.271020203,41.665741746,723,1695,1826,994,1024,3291,4211,2213,2408,2182,1768,1.42,6684.02,4572.8
2007,Segrià,Lleida,0.458875465,41.494156354,1397,14578,15301,9334,9756,30374,34822,21973,22171,18362,13411,1.31,69479.97,21639.51
2007,Selva,Girona,2.603018891,42.00924462,995,12132,12997,7378,8035,25209,29048,17682,18881,12111,9740,2.21,102424.53,25027.26
2007,Solsonès,Lleida,1.358748948,41.842277682,1001,1046,1088,638,689,1981,2366,1489,1629,1370,1171,1.49,5498.61,1803.73
2007,Tarragonès,Tarragona,1.376050084,41.142750135,319,18326,19568,11610,12078,38591,42495,26708,26865,17311,13327,2,130490.83,38372.41
2007,Terra Alta,Tarragona,0.260882637,40.910005124,743,721,766,507,642,1564,1809,1517,1680,1807,1604,1.05,3204.65,1649.57
2007,Urgell,Lleida,1.098859253,41.787239279,580,2631,2827,1682,1740,5082,6114,3930,4149,3912,2987,1.28,12940.53,3377.51
2007,Vall d'Aran,Lleida,0.71138294,42.754900684,634,678,765,498,520,1764,2082,1053,1229,585,489,2.74,6965.01,2840.63
2007,Vallès Occidental,Barcelona,2.113347047,41.509070517,583,71751,76132,41071,43167,144809,153219,99010,96640,65689,47570,1.41,304852.56,131725.97
2007,Vallès Oriental,Barcelona,2.221915789,41.677289414,851,32133,33750,17823,19050,64364,70406,43338,43862,27492,21313,1.42,131831.27,63496.83
2008,Alt Camp,Tarragona,1.168858284,41.262911399,538,3522,3671,2041,2247,6731,7793,5094,5482,4018,3206,1.4,13922.32,8596.84
2008,Alt Empordà,Girona,2.846670142,42.393804699,1358,10429,11027,6451,6690,21071,23824,15580,16373,11701,9656,2.37,82605.14,34366.2
2008,Alt Penedès,Barcelona,1.777332142,41.361030685,593,8538,9084,4502,4750,16889,18840,11560,12047,8653,6756,1.6,38332.12,21097.58
2008,Alt Urgell,Lleida,1.508278479,42.351403709,1447,1347,1520,988,1008,3379,3559,2594,2877,2252,1894,1.35,5874.7,4935.09
2008,Alta Ribagorça,Lleida,0.801124657,42.505378455,427,258,290,193,221,633,841,473,564,404,344,1.59,1844.3,670.63
2008,Anoia,Barcelona,1.443554697,41.59783259,866,9722,10277,5321,5545,18294,21106,13041,13434,9852,7498,1.59,52683.15,13997.32
2008,Bages,Barcelona,1.631966008,41.739169106,1299,13667,14611,8048,8256,27845,31517,21749,22046,19131,13491,1.4,56682.21,35747.44
2008,Baix Camp,Tarragona,0.975413192,41.210359353,697,15898,16296,9342,9688,30222,33572,21514,21813,14740,11359,1.76,72725.9,47847.88
2008,Baix Ebre,Tarragona,0.500058469,40.879900446,1003,5737,6273,3927,4339,11738,15210,9471,9774,8425,6723,1.44,31560.62,11243.63
2008,Baix Empordà,Girona,3.085288573,42.104398466,702,9956,10561,6000,6418,20211,22636,15631,16093,11473,9148,2.38,84862.42,28603.97
2008,Baix Llobregat,Barcelona,1.902601581,41.516171187,486,64316,68176,35530,37443,134298,142814,94508,91928,58776,45490,1.37,273896.31,117513.2
2008,Baix Penedès,Tarragona,1.486364127,41.245744816,296,7981,8372,4384,4400,15688,17753,11263,11656,6891,6142,2.23,62311.47,15526.62
2008,Barcelonès,Barcelona,2.24587666,41.452263347,145,142955,151248,98198,100395,365338,384504,290911,259559,258002,170759,1.44,824139.41,350741.61
2008,Berguedà,Barcelona,1.825611891,42.077717227,1185,2589,2833,1785,1956,5568,6442,5307,5631,5302,3917,1.44,16049.36,5717.58
2008,Cerdanya,Girona,1.837361267,42.397592638,547,1346,1520,833,897,3008,3525,2040,2456,1491,1212,1.96,10794.74,2527.36
2008,Conca de Barberà,Tarragona,1.228323935,41.41091586,650,1444,1614,955,1010,2962,3551,2392,2595,2436,1941,1.59,6363.19,5912.21
2008,Garraf,Barcelona,1.722171016,41.28615903,185,11546,12079,6133,6267,23865,25154,17038,17260,10790,8287,1.86,59922,35541.35
2008,Garrigues,Lleida,0.924154304,41.541651668,798,1211,1336,869,996,2529,3200,2417,2628,2670,2253,1.18,7322.43,1444.2
2008,Garrotxa,Girona,2.641583767,42.21317776,735,3893,4167,2346,2594,7755,8833,6535,7055,6281,4656,1.5,21607.39,8120.63
2008,Gironès,Girona,2.761759172,41.938317975,575,15025,15765,8954,9285,29549,33230,19417,19191,13648,9810,1.3,50464.01,32812.74
2008,Maresme,Barcelona,2.294956934,41.493732172,399,33943,36438,19263,20714,68776,73253,52551,51685,34646,25648,1.74,165865.98,101459.16
2008,Montsià,Tarragona,0.480770667,40.5432439,735,5152,5427,3561,3773,10813,12693,7689,8104,6858,5737,1.48,20924.32,17517.01
2008,Noguera,Lleida,0.660407593,41.751364415,1784,2683,2829,1814,1871,5492,6568,4428,4823,4546,3817,1.21,13381.23,4057.74
2008,Osona,Barcelona,2.250544628,41.767986176,1260,12236,13186,7088,7269,23101,25988,17707,18317,14233,10285,1.33,35117.49,37511.76
2008,Pallars Jussà,Lleida,1.09247165,42.16144193,1343,827,837,549,585,1737,2023,1560,1802,1925,1559,1.23,4663.01,1478.96
2008,Pallars Sobirà,Lleida,1.317472691,42.548794993,1378,506,505,309,320,1154,1318,821,1059,733,650,1.65,3167.12,1322.04
2008,Pla d'Urgell,Lleida,1.018357494,41.679015226,305,2731,2894,1584,1760,5498,6533,3879,4196,3625,2886,1.25,13766.56,2677.7
2008,Pla de l'Estany,Girona,2.765370615,42.118105569,263,2559,2694,1370,1514,4567,4879,3380,3531,2745,2105,1.57,11185.53,5803.8
2008,Priorat,Tarragona,0.766749088,41.165252561,499,599,619,371,408,1243,1556,1166,1357,1329,1123,1.54,3089.87,2449.64
2008,Ribera d'Ebre,Tarragona,0.567443286,41.180631047,827,1539,1556,1020,1210,3040,3546,2999,3162,2836,2386,1.54,6272.01,7134.87
2008,Ripollès,Girona,2.167213333,42.224467627,956,1547,1763,1079,1205,3605,4122,3570,3710,3525,2646,1.97,12429.6,6838.91
2008,Segarra,Lleida,1.271020203,41.665741746,723,1786,1931,1019,1050,3386,4321,2300,2547,2157,1752,1.34,6026.49,4893.55
2008,Segrià,Lleida,0.458875465,41.494156354,1397,15142,15941,9600,10131,31536,36297,22728,23214,18533,13571,1.24,68651.54,20356.01
2008,Selva,Girona,2.603018891,42.00924462,995,12747,13742,7630,8325,26392,30674,18565,19870,12417,10050,2.12,97589.33,29813.09
2008,Solsonès,Lleida,1.358748948,41.842277682,1001,1089,1142,631,695,2050,2419,1540,1724,1387,1172,1.46,5602.28,1701.57
2008,Tarragonès,Tarragona,1.376050084,41.142750135,319,19223,20567,11924,12430,40344,45202,27727,28106,17851,13645,1.89,125837.36,40834.45
2008,Terra Alta,Tarragona,0.260882637,40.910005124,743,716,784,525,661,1567,1830,1567,1714,1786,1600,1.11,3294.75,1907.28
2008,Urgell,Lleida,1.098859253,41.787239279,580,2720,2974,1713,1782,5271,6332,4058,4325,3890,2974,1.35,13211.85,4615.97
2008,Vall d'Aran,Lleida,0.71138294,42.754900684,634,710,780,521,554,1805,2148,1094,1296,598,497,2.59,6670,2965.54
2008,Vallès Occidental,Barcelona,2.113347047,41.509070517,583,74305,78718,40892,42955,147038,155993,101879,99615,66702,48248,1.36,286103.53,142293.84
2008,Vallès Oriental,Barcelona,2.221915789,41.677289414,851,33286,35241,17676,18985,65683,72155,44803,45410,28108,21799,1.35,127222.76,63758.96
2009,Alt Camp,Tarragona,1.168858284,41.262911399,538,3615,3798,2089,2250,6818,7857,5194,5611,4082,3302,1.32,13378.76,8224.43
2009,Alt Empordà,Girona,2.846670142,42.393804699,1358,10804,11508,6522,6743,21477,24337,16143,17008,12006,9932,2.25,80613.47,33144.11
2009,Alt Penedès,Barcelona,1.777332142,41.361030685,593,8950,9468,4507,4701,17224,19143,11930,12379,8808,6902,1.52,36499.85,21559.99
2009,Alt Urgell,Lleida,1.508278479,42.351403709,1447,1416,1551,973,1007,3374,3575,2641,2937,2233,1879,1.33,5717.12,4947.82
2009,Alta Ribagorça,Lleida,0.801124657,42.505378455,427,266,292,187,223,657,859,485,580,410,347,1.53,1680.32,768.69
2009,Anoia,Barcelona,1.443554697,41.59783259,866,10189,10842,5292,5520,18630,21243,13430,13823,10001,7650,1.54,52899.11,13112.38
2009,Bages,Barcelona,1.631966008,41.739169106,1299,14178,15173,8011,8248,28124,31960,22230,22606,19340,13706,1.38,56222.68,36645.93
2009,Baix Camp,Tarragona,0.975413192,41.210359353,697,16386,16933,9231,9455,30531,33617,22158,22454,15005,11630,1.57,65347.04,42822.77
2009,Baix Ebre,Tarragona,0.500058469,40.879900446,1003,5941,6505,3796,4185,11779,14884,9657,9922,8525,6876,1.45,27745.61,15516.87
2009,Baix Empordà,Girona,3.085288573,42.104398466,702,10316,10947,6074,6399,20442,22998,16051,16506,11701,9409,2.25,79022.03,30011.94
2009,Baix Llobregat,Barcelona,1.902601581,41.516171187,486,66330,70513,35353,37034,135131,143791,96179,93819,61088,47140,1.36,251539.75,141794.59
2009,Baix Penedès,Tarragona,1.486364127,41.245744816,296,8379,8757,4418,4365,15940,17940,11573,12034,7288,6464,2.18,61088.06,17721.99
2009,Barcelonès,Barcelona,2.24587666,41.452263347,145,146047,154727,96912,99838,367726,387714,292250,260906,260106,173372,1.38,759004.06,373741.84
2009,Berguedà,Barcelona,1.825611891,42.077717227,1185,2647,2910,1785,1863,5572,6412,5386,5796,5352,3898,1.37,15131,5778.42
2009,Cerdanya,Girona,1.837361267,42.397592638,547,1337,1518,781,842,3020,3483,2091,2518,1498,1259,1.98,10885.91,2567.91
2009,Conca de Barberà,Tarragona,1.228323935,41.41091586,650,1518,1670,945,996,3021,3654,2435,2650,2414,1921,1.51,6069.38,5796.98
2009,Garraf,Barcelona,1.722171016,41.28615903,185,11888,12440,6110,6253,24212,25413,17558,17797,11090,8611,1.75,58015,33520.32
2009,Garrigues,Lleida,0.924154304,41.541651668,798,1229,1363,854,990,2513,3230,2454,2691,2663,2257,1.08,6259.18,1825.62
2009,Garrotxa,Girona,2.641583767,42.21317776,735,3983,4282,2376,2615,7908,8874,6681,7279,6308,4665,1.53,19958.81,10909.88
2009,Gironès,Girona,2.761759172,41.938317975,575,15644,16539,8987,9442,30181,33800,20011,19769,13851,10001,1.21,48567.92,31083.83
2009,Maresme,Barcelona,2.294956934,41.493732172,399,34890,37623,19097,20508,69302,73889,53829,52880,35727,26500,1.71,158111.89,107413.31
2009,Montsià,Tarragona,0.480770667,40.5432439,735,5311,5568,3565,3702,11016,12861,7897,8297,6981,5847,1.45,18820.1,19346.11
2009,Noguera,Lleida,0.660407593,41.751364415,1784,2788,2971,1845,1866,5551,6770,4511,4955,4552,3817,1.14,12186.53,4504.35
2009,Osona,Barcelona,2.250544628,41.767986176,1260,12680,13710,6963,7240,23291,26008,18232,18871,14339,10376,1.27,32557.12,38130.85
2009,Pallars Jussà,Lleida,1.09247165,42.16144193,1343,872,865,539,595,1793,2082,1633,1834,1914,1553,1.33,4523.28,2192.27
2009,Pallars Sobirà,Lleida,1.317472691,42.548794993,1378,530,526,313,324,1151,1357,846,1112,719,633,1.56,2871.9,1465.58
2009,Pla d'Urgell,Lleida,1.018357494,41.679015226,305,2874,3010,1667,1848,5611,6695,3981,4338,3670,2913,1.12,8251.32,6873.64
2009,Pla de l'Estany,Girona,2.765370615,42.118105569,263,2652,2799,1376,1531,4650,4929,3505,3634,2764,2148,1.51,10302.52,6321.83
2009,Priorat,Tarragona,0.766749088,41.165252561,499,607,654,390,417,1260,1615,1186,1376,1307,1109,1.65,2916.76,3103.29
2009,Ribera d'Ebre,Tarragona,0.567443286,41.180631047,827,1592,1570,1042,1201,3050,3583,3032,3236,2866,2383,1.66,6263.85,8279.85
2009,Ripollès,Girona,2.167213333,42.224467627,956,1559,1776,1055,1178,3535,4073,3648,3792,3511,2630,1.88,11568.31,6848.82
2009,Segarra,Lleida,1.271020203,41.665741746,723,1814,2017,1057,1119,3443,4435,2338,2677,2190,1754,1.13,4708.51,4745.08
2009,Segrià,Lleida,0.458875465,41.494156354,1397,15802,16527,9692,10298,32038,37272,23457,24055,18698,13772,1.17,66632.98,19967.57
2009,Selva,Girona,2.603018891,42.00924462,995,13255,14319,7732,8494,27093,31706,19307,20655,12730,10410,1.86,87948.84,26853.99
2009,Solsonès,Lleida,1.358748948,41.842277682,1001,1114,1168,610,683,2014,2372,1581,1760,1384,1166,1.28,4956.64,1490.81
2009,Tarragonès,Tarragona,1.376050084,41.142750135,319,20119,21690,11959,12375,41481,46557,28555,28920,18314,14152,1.78,115987.47,45311.7
2009,Terra Alta,Tarragona,0.260882637,40.910005124,743,725,790,525,665,1568,1848,1548,1728,1804,1586,1.02,2331.59,2474.4
2009,Urgell,Lleida,1.098859253,41.787239279,580,2894,3085,1712,1732,5337,6328,4152,4513,3901,2981,1.28,13355.77,3758.07
2009,Vall d'Aran,Lleida,0.71138294,42.754900684,634,735,786,488,548,1814,2148,1167,1312,603,526,2.39,6153.31,2832
2009,Vallès Occidental,Barcelona,2.113347047,41.509070517,583,76833,81588,40871,42946,148515,157415,104381,102210,68287,49708,1.33,276464.13,149037.5
2009,Vallès Oriental,Barcelona,2.221915789,41.677289414,851,34342,36442,17748,19056,66336,72674,46077,46777,28935,22493,1.33,120320.11,70805.64
